array_size=65536 	STRIDE=1 	avgMISSES=0.000138 	avgTIME=0.001514
array_size=65536 	STRIDE=2 	avgMISSES=0.000033 	avgTIME=0.000920
array_size=65536 	STRIDE=4 	avgMISSES=0.000020 	avgTIME=0.000933
array_size=65536 	STRIDE=8 	avgMISSES=0.000024 	avgTIME=0.000927
array_size=65536 	STRIDE=16 	avgMISSES=0.000026 	avgTIME=0.001005
array_size=65536 	STRIDE=32 	avgMISSES=0.000262 	avgTIME=0.001166
array_size=65536 	STRIDE=64 	avgMISSES=0.000618 	avgTIME=0.001989
array_size=65536 	STRIDE=128 	avgMISSES=0.000157 	avgTIME=0.002021
array_size=65536 	STRIDE=256 	avgMISSES=0.000096 	avgTIME=0.002026
array_size=65536 	STRIDE=512 	avgMISSES=0.000013 	avgTIME=0.002000
array_size=65536 	STRIDE=1024 	avgMISSES=0.000009 	avgTIME=0.002027
array_size=65536 	STRIDE=2048 	avgMISSES=0.000003 	avgTIME=0.003707
array_size=65536 	STRIDE=4096 	avgMISSES=0.000002 	avgTIME=0.004643
array_size=65536 	STRIDE=8192 	avgMISSES=0.000001 	avgTIME=0.001934
array_size=65536 	STRIDE=16384 	avgMISSES=0.000005 	avgTIME=0.001633
array_size=65536 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.001529
array_size=131072 	STRIDE=1 	avgMISSES=0.000039 	avgTIME=0.000924
array_size=131072 	STRIDE=2 	avgMISSES=0.000031 	avgTIME=0.000920
array_size=131072 	STRIDE=4 	avgMISSES=0.000034 	avgTIME=0.000935
array_size=131072 	STRIDE=8 	avgMISSES=0.000033 	avgTIME=0.000934
array_size=131072 	STRIDE=16 	avgMISSES=0.000040 	avgTIME=0.001005
array_size=131072 	STRIDE=32 	avgMISSES=0.000064 	avgTIME=0.001162
array_size=131072 	STRIDE=64 	avgMISSES=0.000368 	avgTIME=0.001957
array_size=131072 	STRIDE=128 	avgMISSES=0.000276 	avgTIME=0.002008
array_size=131072 	STRIDE=256 	avgMISSES=0.000062 	avgTIME=0.001968
array_size=131072 	STRIDE=512 	avgMISSES=0.000034 	avgTIME=0.001983
array_size=131072 	STRIDE=1024 	avgMISSES=0.000012 	avgTIME=0.002050
array_size=131072 	STRIDE=2048 	avgMISSES=0.000011 	avgTIME=0.003866
array_size=131072 	STRIDE=4096 	avgMISSES=0.000009 	avgTIME=0.004806
array_size=131072 	STRIDE=8192 	avgMISSES=0.000001 	avgTIME=0.004483
array_size=131072 	STRIDE=16384 	avgMISSES=0.000001 	avgTIME=0.001659
array_size=131072 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.001627
array_size=131072 	STRIDE=65536 	avgMISSES=0.000000 	avgTIME=0.001505
array_size=262144 	STRIDE=1 	avgMISSES=0.000178 	avgTIME=0.000918
array_size=262144 	STRIDE=2 	avgMISSES=0.000284 	avgTIME=0.000921
array_size=262144 	STRIDE=4 	avgMISSES=0.000545 	avgTIME=0.000947
array_size=262144 	STRIDE=8 	avgMISSES=0.001800 	avgTIME=0.000936
array_size=262144 	STRIDE=16 	avgMISSES=0.014314 	avgTIME=0.001080
array_size=262144 	STRIDE=32 	avgMISSES=0.032254 	avgTIME=0.001312
array_size=262144 	STRIDE=64 	avgMISSES=0.058902 	avgTIME=0.002006
array_size=262144 	STRIDE=128 	avgMISSES=0.109532 	avgTIME=0.001995
array_size=262144 	STRIDE=256 	avgMISSES=0.151388 	avgTIME=0.002043
array_size=262144 	STRIDE=512 	avgMISSES=0.235208 	avgTIME=0.002092
array_size=262144 	STRIDE=1024 	avgMISSES=0.261333 	avgTIME=0.002303
array_size=262144 	STRIDE=2048 	avgMISSES=0.314704 	avgTIME=0.003932
array_size=262144 	STRIDE=4096 	avgMISSES=0.314690 	avgTIME=0.005285
array_size=262144 	STRIDE=8192 	avgMISSES=0.000007 	avgTIME=0.004994
array_size=262144 	STRIDE=16384 	avgMISSES=0.000002 	avgTIME=0.004355
array_size=262144 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.001671
array_size=262144 	STRIDE=65536 	avgMISSES=0.000001 	avgTIME=0.002674
array_size=262144 	STRIDE=131072 	avgMISSES=0.000002 	avgTIME=0.005221
array_size=524288 	STRIDE=1 	avgMISSES=0.000348 	avgTIME=0.000937
array_size=524288 	STRIDE=2 	avgMISSES=0.000589 	avgTIME=0.000940
array_size=524288 	STRIDE=4 	avgMISSES=0.001103 	avgTIME=0.000959
array_size=524288 	STRIDE=8 	avgMISSES=0.004749 	avgTIME=0.000980
array_size=524288 	STRIDE=16 	avgMISSES=0.044009 	avgTIME=0.001272
array_size=524288 	STRIDE=32 	avgMISSES=0.207409 	avgTIME=0.001958
array_size=524288 	STRIDE=64 	avgMISSES=0.923375 	avgTIME=0.003305
array_size=524288 	STRIDE=128 	avgMISSES=0.979126 	avgTIME=0.004465
array_size=524288 	STRIDE=256 	avgMISSES=0.961829 	avgTIME=0.003483
array_size=524288 	STRIDE=512 	avgMISSES=0.968009 	avgTIME=0.003492
array_size=524288 	STRIDE=1024 	avgMISSES=0.966455 	avgTIME=0.003435
array_size=524288 	STRIDE=2048 	avgMISSES=1.031471 	avgTIME=0.004287
array_size=524288 	STRIDE=4096 	avgMISSES=1.032601 	avgTIME=0.006038
array_size=524288 	STRIDE=8192 	avgMISSES=0.310626 	avgTIME=0.005414
array_size=524288 	STRIDE=16384 	avgMISSES=0.000009 	avgTIME=0.005044
array_size=524288 	STRIDE=32768 	avgMISSES=0.000001 	avgTIME=0.004861
array_size=524288 	STRIDE=65536 	avgMISSES=0.000000 	avgTIME=0.002304
array_size=524288 	STRIDE=131072 	avgMISSES=0.000000 	avgTIME=0.002656
array_size=524288 	STRIDE=262144 	avgMISSES=0.000000 	avgTIME=0.001480
array_size=1048576 	STRIDE=1 	avgMISSES=0.000323 	avgTIME=0.000922
array_size=1048576 	STRIDE=2 	avgMISSES=0.000574 	avgTIME=0.000928
array_size=1048576 	STRIDE=4 	avgMISSES=0.001061 	avgTIME=0.000933
array_size=1048576 	STRIDE=8 	avgMISSES=0.004748 	avgTIME=0.000963
array_size=1048576 	STRIDE=16 	avgMISSES=0.043670 	avgTIME=0.001254
array_size=1048576 	STRIDE=32 	avgMISSES=0.215009 	avgTIME=0.001935
array_size=1048576 	STRIDE=64 	avgMISSES=0.999956 	avgTIME=0.003387
array_size=1048576 	STRIDE=128 	avgMISSES=1.000068 	avgTIME=0.003411
array_size=1048576 	STRIDE=256 	avgMISSES=1.000137 	avgTIME=0.003488
array_size=1048576 	STRIDE=512 	avgMISSES=1.000393 	avgTIME=0.003391
array_size=1048576 	STRIDE=1024 	avgMISSES=1.001795 	avgTIME=0.003813
array_size=1048576 	STRIDE=2048 	avgMISSES=1.055383 	avgTIME=0.004312
array_size=1048576 	STRIDE=4096 	avgMISSES=1.051711 	avgTIME=0.005989
array_size=1048576 	STRIDE=8192 	avgMISSES=1.046450 	avgTIME=0.005903
array_size=1048576 	STRIDE=16384 	avgMISSES=0.232324 	avgTIME=0.005124
array_size=1048576 	STRIDE=32768 	avgMISSES=0.000010 	avgTIME=0.005197
array_size=1048576 	STRIDE=65536 	avgMISSES=0.000002 	avgTIME=0.005047
array_size=1048576 	STRIDE=131072 	avgMISSES=0.000000 	avgTIME=0.002379
array_size=1048576 	STRIDE=262144 	avgMISSES=0.000000 	avgTIME=0.001592
array_size=1048576 	STRIDE=524288 	avgMISSES=0.000000 	avgTIME=0.001460
