array_size=8192 	STRIDE=1 	avgMISSES=0.000137 	avgTIME=0.002323
array_size=8192 	STRIDE=2 	avgMISSES=0.000085 	avgTIME=0.001407
array_size=8192 	STRIDE=4 	avgMISSES=0.000074 	avgTIME=0.000903
array_size=8192 	STRIDE=8 	avgMISSES=0.000070 	avgTIME=0.000909
array_size=8192 	STRIDE=16 	avgMISSES=0.000067 	avgTIME=0.001048
array_size=8192 	STRIDE=32 	avgMISSES=0.000097 	avgTIME=0.000995
array_size=8192 	STRIDE=64 	avgMISSES=0.000044 	avgTIME=0.001003
array_size=8192 	STRIDE=128 	avgMISSES=0.000061 	avgTIME=0.001175
array_size=8192 	STRIDE=256 	avgMISSES=0.000020 	avgTIME=0.001000
array_size=8192 	STRIDE=512 	avgMISSES=0.000013 	avgTIME=0.001177
array_size=8192 	STRIDE=1024 	avgMISSES=0.000023 	avgTIME=0.001199
array_size=8192 	STRIDE=2048 	avgMISSES=0.000010 	avgTIME=0.001348
array_size=8192 	STRIDE=4096 	avgMISSES=0.000008 	avgTIME=0.001548
array_size=16384 	STRIDE=1 	avgMISSES=0.000099 	avgTIME=0.000902
array_size=16384 	STRIDE=2 	avgMISSES=0.000114 	avgTIME=0.000900
array_size=16384 	STRIDE=4 	avgMISSES=0.000101 	avgTIME=0.000908
array_size=16384 	STRIDE=8 	avgMISSES=0.000137 	avgTIME=0.000906
array_size=16384 	STRIDE=16 	avgMISSES=0.000104 	avgTIME=0.000910
array_size=16384 	STRIDE=32 	avgMISSES=0.000113 	avgTIME=0.000922
array_size=16384 	STRIDE=64 	avgMISSES=0.000135 	avgTIME=0.000947
array_size=16384 	STRIDE=128 	avgMISSES=0.000034 	avgTIME=0.000992
array_size=16384 	STRIDE=256 	avgMISSES=0.000032 	avgTIME=0.001094
array_size=16384 	STRIDE=512 	avgMISSES=0.000020 	avgTIME=0.001020
array_size=16384 	STRIDE=1024 	avgMISSES=0.000013 	avgTIME=0.001138
array_size=16384 	STRIDE=2048 	avgMISSES=0.000013 	avgTIME=0.001265
array_size=16384 	STRIDE=4096 	avgMISSES=0.000014 	avgTIME=0.001581
array_size=16384 	STRIDE=8192 	avgMISSES=0.000014 	avgTIME=0.001646
array_size=32768 	STRIDE=1 	avgMISSES=0.000873 	avgTIME=0.000908
array_size=32768 	STRIDE=2 	avgMISSES=0.001261 	avgTIME=0.000903
array_size=32768 	STRIDE=4 	avgMISSES=0.002439 	avgTIME=0.000908
array_size=32768 	STRIDE=8 	avgMISSES=0.004558 	avgTIME=0.000904
array_size=32768 	STRIDE=16 	avgMISSES=0.009030 	avgTIME=0.000911
array_size=32768 	STRIDE=32 	avgMISSES=0.017817 	avgTIME=0.000928
array_size=32768 	STRIDE=64 	avgMISSES=0.017742 	avgTIME=0.000933
array_size=32768 	STRIDE=128 	avgMISSES=0.035296 	avgTIME=0.000954
array_size=32768 	STRIDE=256 	avgMISSES=0.070368 	avgTIME=0.000983
array_size=32768 	STRIDE=512 	avgMISSES=0.060906 	avgTIME=0.001072
array_size=32768 	STRIDE=1024 	avgMISSES=0.060418 	avgTIME=0.001092
array_size=32768 	STRIDE=2048 	avgMISSES=0.000012 	avgTIME=0.001235
array_size=32768 	STRIDE=4096 	avgMISSES=0.000012 	avgTIME=0.001684
array_size=32768 	STRIDE=8192 	avgMISSES=0.000008 	avgTIME=0.001585
array_size=32768 	STRIDE=16384 	avgMISSES=0.000007 	avgTIME=0.001486
array_size=65536 	STRIDE=1 	avgMISSES=0.015625 	avgTIME=0.000919
array_size=65536 	STRIDE=2 	avgMISSES=0.031320 	avgTIME=0.000925
array_size=65536 	STRIDE=4 	avgMISSES=0.062631 	avgTIME=0.000943
array_size=65536 	STRIDE=8 	avgMISSES=0.125252 	avgTIME=0.000932
array_size=65536 	STRIDE=16 	avgMISSES=0.250494 	avgTIME=0.001014
array_size=65536 	STRIDE=32 	avgMISSES=0.500823 	avgTIME=0.001160
array_size=65536 	STRIDE=64 	avgMISSES=1.000082 	avgTIME=0.001957
array_size=65536 	STRIDE=128 	avgMISSES=1.000164 	avgTIME=0.001965
array_size=65536 	STRIDE=256 	avgMISSES=1.000186 	avgTIME=0.001949
array_size=65536 	STRIDE=512 	avgMISSES=1.013407 	avgTIME=0.001966
array_size=65536 	STRIDE=1024 	avgMISSES=1.729901 	avgTIME=0.003051
array_size=65536 	STRIDE=2048 	avgMISSES=1.289468 	avgTIME=0.003469
array_size=65536 	STRIDE=4096 	avgMISSES=0.972754 	avgTIME=0.004294
array_size=65536 	STRIDE=8192 	avgMISSES=0.000008 	avgTIME=0.001649
array_size=65536 	STRIDE=16384 	avgMISSES=0.000006 	avgTIME=0.001592
array_size=65536 	STRIDE=32768 	avgMISSES=0.000005 	avgTIME=0.001452
